_id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
6a38f973aecc97d5c44aa8e6,Male,29,1,8.0,1,< 1 Year,No,38772.0,152.0,93,0.0
6a38f972aecc97d5c448f7e7,Male,34,1,27.0,0,1-2 Year,Yes,31253.0,152.0,127,0.0
6a38f972aecc97d5c449a2d3,Female,23,1,6.0,1,< 1 Year,No,32288.0,152.0,115,0.0
6a38f973aecc97d5c44aefdf,Female,24,1,13.0,1,< 1 Year,No,29814.0,152.0,299,0.0
6a38f972aecc97d5c4495f7d,Female,54,1,28.0,0,1-2 Year,No,2630.0,52.0,43,0.0
6a38f973aecc97d5c44af129,Female,29,1,28.0,0,< 1 Year,Yes,43194.0,121.0,125,0.0
6a38f972aecc97d5c44a51b9,Male,56,1,28.0,0,1-2 Year,No,44512.0,26.0,140,0.0
6a38f972aecc97d5c4498637,Male,24,1,41.0,1,< 1 Year,No,38844.0,152.0,10,0.0
6a38f972aecc97d5c449f4a5,Female,42,1,0.0,1,1-2 Year,No,2630.0,26.0,291,0.0
6a38f973aecc97d5c44b35c6,Male,42,1,8.0,0,1-2 Year,Yes,27833.0,124.0,68,0.0
6a38f973aecc97d5c44b0e9c,Male,26,1,47.0,1,< 1 Year,Yes,44973.0,26.0,279,0.0
6a38f972aecc97d5c44a358e,Female,43,1,21.0,1,1-2 Year,Yes,33601.0,154.0,286,0.0
6a38f972aecc97d5c44a0bad,Male,24,1,8.0,0,< 1 Year,Yes,38909.0,152.0,19,0.0
6a38f972aecc97d5c449de7a,Male,21,1,28.0,1,< 1 Year,No,44276.0,152.0,232,0.0
6a38f973aecc97d5c44afdda,Female,23,1,13.0,1,< 1 Year,No,17293.0,152.0,23,0.0
6a38f972aecc97d5c449e796,Female,39,1,14.0,0,1-2 Year,No,2630.0,124.0,63,0.0
6a38f972aecc97d5c4495c6e,Female,33,1,3.0,0,1-2 Year,Yes,20190.0,154.0,135,1.0
6a38f972aecc97d5c449665e,Male,26,1,15.0,1,< 1 Year,No,45765.0,152.0,63,0.0
6a38f971aecc97d5c448cef8,Male,53,1,35.0,1,1-2 Year,No,46622.0,152.0,256,0.0
6a38f973aecc97d5c44b2f39,Male,23,1,46.0,1,< 1 Year,No,38450.0,26.0,25,0.0
6a38f972aecc97d5c448f695,Male,48,1,33.0,0,1-2 Year,Yes,2630.0,163.0,155,0.0
6a38f972aecc97d5c44a470f,Female,43,1,28.0,0,1-2 Year,Yes,41116.0,124.0,15,0.0
6a38f972aecc97d5c449eecb,Male,24,1,28.0,1,< 1 Year,No,26267.0,152.0,152,0.0
6a38f972aecc97d5c449a01b,Female,20,1,43.0,1,< 1 Year,Yes,24585.0,160.0,164,0.0
6a38f972aecc97d5c4493c59,Female,35,1,10.0,0,1-2 Year,No,43789.0,124.0,190,1.0
6a38f972aecc97d5c4495a92,Male,47,1,33.0,1,1-2 Year,No,30654.0,124.0,204,0.0
6a38f972aecc97d5c449480b,Female,26,1,8.0,1,< 1 Year,No,41675.0,152.0,67,0.0
6a38f972aecc97d5c44a119a,Male,61,1,29.0,0,< 1 Year,No,2630.0,1.0,71,0.0
6a38f972aecc97d5c44a2f16,Female,39,1,29.0,1,1-2 Year,No,2630.0,124.0,239,0.0
6a38f972aecc97d5c449bb9b,Female,26,1,33.0,1,< 1 Year,No,25338.0,152.0,63,0.0
6a38f972aecc97d5c449910c,Female,24,1,41.0,1,< 1 Year,No,29601.0,152.0,235,0.0
6a38f972aecc97d5c4495e8a,Female,28,1,3.0,1,< 1 Year,No,37785.0,152.0,252,0.0
6a38f972aecc97d5c449e5cc,Female,25,1,28.0,1,< 1 Year,No,34679.0,152.0,239,0.0
6a38f972aecc97d5c4495117,Female,24,1,32.0,0,< 1 Year,Yes,2630.0,152.0,121,0.0
6a38f972aecc97d5c449fe65,Male,22,1,28.0,0,< 1 Year,Yes,42390.0,124.0,195,0.0
6a38f972aecc97d5c449d726,Male,50,1,50.0,0,1-2 Year,Yes,20709.0,8.0,181,0.0
6a38f972aecc97d5c4492cf6,Female,28,1,28.0,1,< 1 Year,No,26948.0,152.0,84,0.0
6a38f973aecc97d5c44b231d,Male,69,1,8.0,0,> 2 Years,Yes,55988.0,26.0,100,1.0
6a38f972aecc97d5c44a4ab7,Female,23,1,30.0,1,< 1 Year,No,34284.0,152.0,99,0.0
6a38f972aecc97d5c448f460,Female,27,1,11.0,1,< 1 Year,No,18969.0,152.0,231,0.0
6a38f973aecc97d5c44ac6d3,Female,44,1,28.0,0,1-2 Year,Yes,35933.0,26.0,254,1.0
6a38f972aecc97d5c4497498,Male,61,1,46.0,1,1-2 Year,No,39734.0,122.0,187,0.0
6a38f972aecc97d5c44a833d,Female,35,1,41.0,0,1-2 Year,No,25643.0,152.0,254,0.0
6a38f972aecc97d5c44a2fd3,Female,34,1,28.0,1,1-2 Year,No,39061.0,152.0,163,0.0
6a38f972aecc97d5c44a98d4,Female,35,1,35.0,0,1-2 Year,Yes,37838.0,156.0,282,0.0
6a38f973aecc97d5c44ad78c,Female,58,1,28.0,0,1-2 Year,Yes,2630.0,26.0,78,0.0
6a38f973aecc97d5c44ae17d,Male,60,1,28.0,1,1-2 Year,No,37492.0,13.0,247,0.0
6a38f971aecc97d5c448bdf1,Male,50,1,28.0,1,1-2 Year,No,27784.0,26.0,277,0.0
6a38f971aecc97d5c448e6af,Female,62,1,35.0,1,1-2 Year,No,44914.0,26.0,276,0.0
6a38f972aecc97d5c449139d,Female,31,1,28.0,1,< 1 Year,No,35799.0,152.0,195,0.0
6a38f973aecc97d5c44af043,Male,27,1,3.0,1,< 1 Year,No,33167.0,160.0,71,0.0
6a38f972aecc97d5c44910dd,Male,58,1,46.0,0,1-2 Year,Yes,34043.0,26.0,198,0.0
6a38f973aecc97d5c44b28ce,Female,31,1,45.0,1,< 1 Year,No,26311.0,152.0,225,0.0
